Product Name,Price,Speed,Control,Weight (g)
GEWO Hybrid Carbon X/Speed Off,$49.99 ,n/a,n/a,n/a
GEWO Power Control,$37.99 ,86,89,80
GEWO Zoom Balance All+,$39.99 ,86,99,85
GEWO Zoom Pro Off-,$39.99 ,78,79,82
JOOLA Air Carbon,$144.95 ,92,54,72
JOOLA Air Fibre,$129.95 ,93,60,60
JOOLA Aruna Off,$89.95 ,90,75,88
JOOLA Aruna Off+,$94.95 ,95,67,90
JOOLA Black Rose,$89.95 ,100,68,92
JOOLA Challenger All,$29.95 ,87,92,90
JOOLA Challenger Carbon,$39.95 ,97,76,90
JOOLA Challenger Off,$34.95 ,93,84,90
JOOLA Chen Defender,$54.95 ,55,104,90
JOOLA Chen Weixing,$59.95 ,60,95,90
JOOLA Chen Weixing Jr,$29.95 ,50,98,80
JOOLA Classic All,$34.95 ,88,96,80
JOOLA Classic Carbon Off,$54.95 ,99,81,90
JOOLA Classic Off,$39.95 ,94,88,90
JOOLA Colt Off Control,$69.95 ,82,69,85
JOOLA Colt Off Speed,$69.95 ,85,62,80
JOOLA Eagle Fast,$47.95 ,83,85,72
JOOLA Eagle II Carbon,$54.95 ,93,61,89
JOOLA Eagle II Fast,$49.95 ,84,83,89
JOOLA Eagle II Medium,$44.94 ,69,76,90
JOOLA Eagle Medium,$39.95 ,68,80,77
JOOLA Energon Super PBO-c,$269.95 ,110,50,93
JOOLA Falcon Fast,$34.95 ,83,90,82
JOOLA Falcon Fast Plus,$39.95 ,85,78,82
JOOLA Falcon Medium,$29.95 ,75,100,80
JOOLA Fever,$99.95 ,90,85,87
JOOLA Greenline Extreme,$99.95 ,90,78,87
JOOLA K5,$59.95 ,78,95,85
JOOLA K6,$64.95 ,93,60,90
JOOLA K7,$69.95 ,95,60,90
JOOLA Mattenet All+,$49.95 ,80,91,85
JOOLA Mattenet Off,$59.95 ,87,86,85
JOOLA Mikado All+,$39.95 ,68,98,82
JOOLA Mikado Off,$44.95 ,85,88,82
JOOLA Mikado Off+,$49.95 ,95,80,87
JOOLA Nobilis PBO-c,$189.95 ,108,52,87
JOOLA O Degree Allround,$34.95 ,63,79,80
JOOLA O Degree Carbon,$59.95 ,80,72,80
JOOLA O Degree Offense,$44.95 ,70,77,80
JOOLA Quattro Carbon,$149.95 ,113,48,83
JOOLA Rossi Emotion,$89.95 ,90,73,87
JOOLA Rossi Emotion PBO-c,$219.95 ,n/a,n/a,93
JOOLA Rossi Fire,$49.95 ,80,80,85
JOOLA Rossi Force,$83.95 ,93,68,90
JOOLA Rossi Jr,$37.95 ,63,88,80
JOOLA Rosskopf Allround,$44.95 ,65,90,90
JOOLA Solja Off Minus,$99.95 ,91,82,87
JOOLA Solja Off Plus,$119.95 ,96,71,90
JOOLA Spirit OFF,$59.95 ,88,70,85
JOOLA Spirit OFF+,$64.95 ,98,55,90
JOOLA Toni Hold White Spot,$44.95 ,53,100,85
JOOLA Torre All+,$34.95 ,72,76,n/a
JOOLA Torre Carbon,$49.95 ,79,66,n/a
JOOLA Torre Off,$39.95 ,76,68,n/a
JOOLA TPE Feeling,$79.95 ,85,98,90
JOOLA TPE Feeling XS,$79.95 ,85,98,90
JOOLA TPE Fight,$149.95 ,100,78,92
JOOLA TPE Nature,$74.95 ,88,90,87
JOOLA TPE Perform,$99.95 ,103,73,87
JOOLA Viking,$69.95 ,95,74,87
JOOLA Viva,$54.95 ,80,100,85
